
Palette: 125
kelpColor: 0.1, 0.9, 0.7
scavMainTradeItem: Lantern
Room_Attr: FT_L08: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_L09: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Avoid,SmallCentipede-Avoid,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Avoid,
Room_Attr: FT_L10: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L11: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L12: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_L16: BigEel-Like,
Room_Attr: FT_S01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_S02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Snail-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centipede-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Scutigera-Forbidden,
Room_Attr: FT_S03: PinkLizard-Avoid,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X01: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X02: GreenLizard-Forbidden,YellowLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X03: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X04: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X05: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X06: GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X07: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X08: GreenLizard-Forbidden,YellowLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X09: PinkLizard-Like,GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X10: GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X11: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X12: GreenLizard-Forbidden,YellowLizard-Avoid,WhiteLizard-Like,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X13: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigSpider-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X14: GreenLizard-Forbidden,YellowLizard-Avoid,WhiteLizard-Like,Salamander-Forbidden,Vulture-Forbidden,BigSpider-Avoid,KingVulture-Forbidden,
Room_Attr: FT_X15: GreenLizard-Forbidden,YellowLizard-Like,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: GATE_FT_SB: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N01: PinkLizard-Like,GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,
Room_Attr: FT_N02: PinkLizard-Like,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N03: PinkLizard-Like,GreenLizard-Like,Salamander-Forbidden,
Room_Attr: FT_N04: Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N05: PinkLizard-Like,GreenLizard-Like,Salamander-Forbidden,
Room_Attr: FT_N06: GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,CyanLizard-Like,Vulture-Like,CicadaA-Like,CicadaB-Like,BigSpider-Forbidden,KingVulture-Like,
Room_Attr: FT_N07: GreenLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N08: PinkLizard-Like,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N09: PinkLizard-Like,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N10: PinkLizard-Avoid,GreenLizard-Avoid,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_N11: PinkLizard-Like,GreenLizard-Like,Salamander-Forbidden,
Room_Attr: FT_N12: PinkLizard-Like,GreenLizard-Like,Salamander-Forbidden,
Room_Attr: FT_N13: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,CyanLizard-Like,Vulture-Like,CicadaA-Like,CicadaB-Like,BigSpider-Forbidden,KingVulture-Like,
Room_Attr: FT_N14: GreenLizard-Like,Salamander-Forbidden,
Room_Attr: FT_N15: Salamander-Forbidden,
Room_Attr: FT_N16: GreenLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_None: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_R01: PinkLizard-Like,GreenLizard-Forbidden,WhiteLizard-Like,Salamander-Forbidden,CyanLizard-Like,CicadaA-Like,CicadaB-Like,BigSpider-Forbidden,
Room_Attr: FT_R02: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R03: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R04: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R05: GreenLizard-Forbidden,Vulture-Like,KingVulture-Like,
Room_Attr: FT_R12: GreenLizard-Forbidden,
Room_Attr: FT_R11: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R13: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R14: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R15: GreenLizard-Forbidden,Vulture-Like,
Room_Attr: FT_R17: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R18: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R19: KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R20: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_R21: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_R22: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_R23: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R24: Vulture-Avoid,KingVulture-Avoid,Blizzor-Stay,
Room_Attr: FT_R27: GreenLizard-Forbidden,
Room_Attr: FT_R28: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R30: GreenLizard-Forbidden,Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R31: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R38: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_R39: Vulture-Like,KingVulture-Like,Blizzor-Forbidden,
Room_Attr: FT_X16: GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X17: GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,
Room_Attr: FT_X18: GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X19: GreenLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Like,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_X20: GreenLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_S04: PinkLizard-Avoid,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_S05: PinkLizard-Avoid,GreenLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: GATE_FT_FO: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_L13: DropBug-Forbidden,
Room_Attr: FT_N19: Vulture-Like,KingVulture-Like,
Room_Attr: FT_N20: Vulture-Like,KingVulture-Like,
